ZIP Code,State,County,Hospitals,Nursing Homes,Public Health Departments,Pharmacies,Representative Lat,Representative Lon
01540,MA,WORCESTER,0,0,1,0,42.117575816165626,-71.86512799515071
01541,MA,WORCESTER,0,0,1,0,42.44993966952367,-71.87890520783185
01542,MA,WORCESTER,1,1,0,0,42.2019075325,-71.89883479949995
01543,MA,WORCESTER,0,0,1,0,42.376859375948314,-71.95525481328383
01545,MA,WORCESTER,0,4,1,0,42.289695263670396,-71.70760860295853
01550,MA,WORCESTER,1,1,1,0,42.07522462814284,-72.03777244054452
01562,MA,WORCESTER,0,1,1,0,42.24790552406137,-71.99376177142662
01564,MA,WORCESTER,0,1,1,0,42.424520236340584,-71.77862921220907
01566,MA,WORCESTER,0,0,1,0,42.108734793516135,-72.08058014672297
01568,MA,WORCESTER,0,0,1,0,42.17319116655295,-71.60317482597739
01569,MA,WORCESTER,0,1,1,0,42.068184946484315,-71.62614481932079
01570,MA,WORCESTER,0,4,1,0,42.04261359072283,-71.87273824514591
01571,MA,WORCESTER,0,0,1,0,42.04543320139584,-71.8953907252123
01581,MA,WORCESTER,2,5,1,0,42.27752767644915,-71.5944483854001
01583,MA,WORCESTER,0,1,2,0,42.37226862635716,-71.78523727122975
01585,MA,WORCESTER,0,2,1,0,42.23518046115851,-72.1415675390881
01588,MA,WORCESTER,0,1,1,0,42.11591034574184,-71.66851728971835
01590,MA,WORCESTER,0,0,1,0,42.14953889439129,-71.76268888030816
01602,MA,WORCESTER,1,2,0,0,42.264424921333365,-71.84299262166667
01603,MA,WORCESTER,0,2,0,0,42.2451163345,-71.8386348455
01604,MA,WORCESTER,1,4,0,0,42.25742134780008,-71.78355175659998
01605,MA,WORCESTER,2,6,0,0,42.282189002625046,-71.7751592365
01606,MA,WORCESTER,1,8,0,0,42.309131486444485,-71.78451801522222
01608,MA,WORCESTER,1,0,0,0,42.26476086,-71.79673481
01609,MA,WORCESTER,0,6,0,0,42.287990141833426,-71.82394637183329
01610,MA,WORCESTER,0,3,1,0,42.25000990145939,-71.81010898790026
01612,MA,WORCESTER,0,0,1,0,42.31143965779584,-71.9282703788509
01655,MA,WORCESTER,1,0,0,0,42.2778,-71.7617
01701,MA,MIDDLESEX,1,5,0,0,42.312266997166695,-71.43209721016665
01702,MA,MIDDLESEX,0,4,1,0,42.28207151570708,-71.43167598754026
01719,MA,MIDDLESEX,0,0,1,0,42.48292961154409,-71.5137912415711
01720,MA,MIDDLESEX,0,2,1,0,42.49331909269481,-71.41501552301567
01721,MA,MIDDLESEX,0,3,1,0,42.251956667909035,-71.46145639514974
01730,MA,MIDDLESEX,2,1,1,0,42.500435831282154,-71.27233304827516
01731,MA,MIDDLESEX,1,0,0,0,42.4578802,-71.282688
01740,MA,WORCESTER,0,1,1,0,42.5133730659234,-71.6954734281125
01741,MA,MIDDLESEX,0,0,1,0,42.52939178401603,-71.35131026835046
01742,MA,MIDDLESEX,1,5,1,0,42.45424774275023,-71.3752428713361
01746,MA,MIDDLESEX,0,1,1,0,42.202235858191735,-71.4272763831118
01747,MA,WORCESTER,0,1,1,0,42.130760160724016,-71.54122926039207
01748,MA,MIDDLESEX,0,1,1,0,42.22459334586745,-71.52920421928721
01749,MA,MIDDLESEX,0,1,1,0,42.38411213852024,-71.56675520459018
01752,MA,MIDDLESEX,1,8,1,0,42.35496584714259,-71.53870833406413
01754,MA,MIDDLESEX,0,0,1,0,42.430421314756664,-71.4613697171891
01756,MA,WORCESTER,0,0,1,0,42.10550596547115,-71.55128982758542
01757,MA,WORCESTER,1,6,1,0,42.14335966990056,-71.52243015495868
01760,MA,MIDDLESEX,1,5,1,0,42.286469331852196,-71.34517319578876
01770,MA,MIDDLESEX,0,0,1,0,42.23962751960477,-71.37135232373907
01772,MA,WORCESTER,0,0,1,0,42.30359874532899,-71.52906145335633
01773,MA,MIDDLESEX,0,2,1,0,42.439423458982695,-71.31544432839898
01775,MA,MIDDLESEX,0,0,1,0,42.43634399444253,-71.50656611509612
01776,MA,MIDDLESEX,0,4,1,0,42.36439054494763,-71.42890067110808
01778,MA,MIDDLESEX,0,3,1,0,42.34066302708516,-71.35556346503522
01801,MA,MIDDLESEX,1,6,1,0,42.480569990925055,-71.15251232784127
01803,MA,MIDDLESEX,0,3,1,0,42.49555800497579,-71.20706918285109
01806,MA,MIDDLESEX,1,0,0,0,42.484665,-71.205265
01810,MA,ESSEX,0,5,1,0,42.6547757799694,-71.1457637379604
01821,MA,MIDDLESEX,0,2,1,0,42.55423923717158,-71.2747328015888
01824,MA,MIDDLESEX,0,5,1,0,42.60288949183572,-71.33676624871453
01826,MA,MIDDLESEX,0,2,1,0,42.67545171433098,-71.30301628034388
01827,MA,MIDDLESEX,0,0,1,0,42.6749155987791,-71.48176321507647
01830,MA,ESSEX,2,7,1,0,42.78458098213552,-71.06784057448581
01832,MA,ESSEX,0,1,0,0,42.7870295930001,-71.1093234109999
01833,MA,ESSEX,0,0,1,0,42.72263060097935,-70.9929196521048
01834,MA,ESSEX,0,0,1,0,42.7679518333838,-71.02553552983325
01835,MA,ESSEX,1,1,0,0,42.76166868300005,-71.118923975
01840,MA,ESSEX,0,0,1,0,42.70825620241914,-71.15994205914326
01841,MA,ESSEX,0,5,0,0,42.71238984080004,-71.16371926439994
01842,MA,ESSEX,1,0,0,0,42.71,-71.1501
01844,MA,ESSEX,1,5,1,0,42.72691302160842,-71.17446014913548
01845,MA,ESSEX,0,6,1,0,42.68967934174685,-71.10570829728002
01850,MA,MIDDLESEX,0,1,0,0,42.6522646400001,-71.299849807
01851,MA,MIDDLESEX,0,2,1,0,42.63225980772848,-71.33989427636509
01852,MA,MIDDLESEX,1,1,0,0,42.638039125,-71.2918504595
01854,MA,MIDDLESEX,2,5,0,0,42.645141712142895,-71.36051308928569
01860,MA,ESSEX,0,0,1,0,42.83352584833093,-71.00186885042613
01862,MA,MIDDLESEX,0,2,0,0,42.593034535499996,-71.29490822649996
01863,MA,MIDDLESEX,0,2,0,0,42.628034092,-71.36845813
01864,MA,MIDDLESEX,0,1,1,0,42.58807292612009,-71.11272251326663
01867,MA,MIDDLESEX,0,3,1,0,42.538594723894285,-71.1032987889829
01876,MA,MIDDLESEX,1,4,2,0,42.60386404217901,-71.2270323486719
01879,MA,MIDDLESEX,0,0,1,0,42.680525142082814,-71.42712112717703
01880,MA,MIDDLESEX,0,3,1,0,42.490579336216626,-71.07159267517314
01886,MA,MIDDLESEX,0,2,1,0,42.571742233222885,-71.42637795526427
01887,MA,MIDDLESEX,0,3,1,0,42.54494109042342,-71.15176971302563
01890,MA,MIDDLESEX,1,4,1,0,42.45859524028058,-71.13751136532757
01901,MA,ESSEX,0,0,1,0,42.464778197516964,-70.95126417050315
01902,MA,ESSEX,0,4,0,0,42.46963861350005,-70.93182416975
01904,MA,ESSEX,2,0,0,0,42.486710055,-70.96833046500001
01905,MA,ESSEX,0,1,0,0,42.4703721810001,-70.9648330269999
01906,MA,ESSEX,0,3,1,0,42.457164091158496,-70.99494713906087
01907,MA,ESSEX,0,2,1,0,42.47323178927848,-70.90704335173011
01908,MA,ESSEX,0,1,1,0,42.42497381652659,-70.91675895227398
01913,MA,ESSEX,1,5,1,0,42.85210009701892,-70.94309380930945
01915,MA,ESSEX,2,5,1,0,42.56273526200721,-70.87429338094333
01921,MA,ESSEX,0,0,1,0,42.694095287575706,-71.01452715931845
01923,MA,ESSEX,0,9,1,0,42.56654438994525,-70.94382754704792
01929,MA,ESSEX,0,0,1,0,42.63153492889797,-70.78316982539556
01930,MA,ESSEX,1,2,1,0,42.626223538308494,-70.67044137145807
01938,MA,ESSEX,0,1,1,0,42.67178660031486,-70.83696102056685
01940,MA,ESSEX,0,1,1,0,42.524554586496265,-71.0405207205021
01944,MA,ESSEX,0,0,1,0,42.574822821476495,-70.77236981282275
01945,MA,ESSEX,0,2,1,0,42.49412865737421,-70.87380307244284
01949,MA,ESSEX,0,0,1,0,42.60832614394187,-71.03266963810532
01950,MA,ESSEX,1,6,1,0,42.813624163408925,-70.89036080922843
01951,MA,ESSEX,0,0,1,0,42.79782206946987,-70.86109284354264
01952,MA,ESSEX,0,1,1,0,42.841542013781364,-70.85818979306765
01960,MA,ESSEX,2,8,1,0,42.534493934796686,-70.9553759102186
01966,MA,ESSEX,0,1,1,0,42.65518682807567,-70.61220062594151
01969,MA,ESSEX,0,1,1,0,42.72782523717105,-70.88087232897682
01970,MA,ESSEX,1,3,1,0,42.51288457530003,-70.89674219234067
01972,DE,NEW CASTLE,2,1,1,0,39.66988856480246,-75.60311950060924
01981,DE,NEW CASTLE,0,6,0,0,39.81114198466671,-75.51569743466665
01982,MA,ESSEX,0,0,1,0,42.61968020159575,-70.8547488529704
01983,MA,ESSEX,0,1,1,0,42.636983450059496,-70.94600215671059
01984,MA,ESSEX,0,0,1,0,42.6043314379407,-70.88684814281655
01985,MA,ESSEX,0,0,1,0,42.80018487350117,-70.98902353654616
01994,DE,SUSSEX,0,1,0,0,38.459035156,-75.576057163
01995,DE,SUSSEX,0,1,0,0,38.822505176,-75.623779606
