OBJECTID,Name,Address,City,State,Zip,Status,x,y
54749,CVS Pharmacy #08864,3575 ATLANTIC AVENUE,LONG BEACH,CA,90807,open,-13156408.1218811,4004883.6014725
54751,CVS Pharmacy #09732,861 NORTH VINE STREET,HOLLYWOOD,CA,90038,open,-13172080.2363924,4040448.32337192
54752,CVS Pharmacy #09504,8008 FIRESTONE BOULEVARD,DOWNEY,CA,90241,open,-13151043.1903418,4021010.52701256
54753,CVS Pharmacy #09630,6201 Sepulveda Blvd,VAN NUYS,CA,91411,open,-13187626.7825181,4053428.85902483
54754,CVS Pharmacy #09674,1050 SUNSET BOULEVARD,LOS ANGELES,CA,90012,open,-13163405.8877113,4037494.58000752
54757,CVS Pharmacy #08889,12618 STUDEBAKER ROAD,NORWALK,CA,90650,open,-13146723.2148626,4017636.83570364
54758,CVS Pharmacy #08879,8985 VENICE BOULEVARD,LOS ANGELES,CA,90034,open,-13179382.906308,4032474.51712165
54759,CVS Pharmacy #09726,1411 LINCOLN BOULEVARD,SANTA MONICA,CA,90401,open,-13190319.8236394,4031397.73396997
54762,CVS Pharmacy #09627,22050 VENTURA BLVD,WOODLAND HILLS,CA,91364,open,-13203343.7587843,4051428.30077083
54765,CVS Pharmacy #09798,313 SOUTH GARFIELD AVENUE,MONTEREY PARK,CA,91754,open,-13149433.065227,4036777.96455061
54768,CVS Pharmacy #08835,3710 TWEEDY BOULEVARD,SOUTH GATE,CA,90280,open,-13158514.7319249,4021223.21054277
54769,CVS Pharmacy #08837,222 N. MARKET STREET,INGLEWOOD,CA,90301,open,-13174750.9022961,4024096.63789672
54770,CVS Pharmacy #08841,11623 EAST ROSECRANS BOULEVARD,NORWALK,CA,90650,open,-13145256.6918909,4015734.29081437
54771,CVS Pharmacy #09621,18247 SHERMAN WAY,RESEDA,CA,91335,open,-13194835.4987834,4055868.81165413
54772,CVS PHARMACY #00847,3010 SOUTH SEPULVEDA BOULEVARD,LOS ANGELES,CA,90034,open,-13183353.5612251,4032421.32699142
54773,CVS Pharmacy #09625,9089 WOODMAN,ARLETA,CA,91331,open,-13184735.4813838,4060398.31330286
54774,CVS Pharmacy #08886,8601 SOUTH SEPULVEDA BOULEVARD,LOS ANGELES,CA,90045,open,-13179832.5257313,4023383.95082301
54775,CVS Pharmacy #08838,2130 BELLFLOWER BOULEVARD,LONG BEACH,CA,90815,open,-13149557.9656956,4001404.54909611
54776,CVS Pharmacy #09512,15466 WHITTIER BLVD,WHITTIER,CA,90603,open,-13135369.7399966,4021449.18274592
54777,CVS Pharmacy #09637,367 N CITRUS AVE,AZUSA,CA,91702,open,-13123482.4881722,4046008.46163883
54780,CVS Pharmacy #08867,7915 FLORENCE AVENUE,DOWNEY,CA,90240,open,-13150327.628655,4022683.65495602
54781,CVS Pharmacy #09626,1701 SOUTH WESTERN AVENUE,LOS ANGELES,CA,90006,open,-13170125.6887731,4034529.91478843
54783,CVS Pharmacy #08868,5020 WEST 190TH STREET,TORRANCE,CA,90503,open,-13176263.5115369,4009767.81996038
54784,CVS Pharmacy #09655,10208 BALBOA BLVD,GRANADA HILLS,CA,91344,open,-13191513.5025392,4063217.00574024
54786,CVS Pharmacy #09661,6360 WEST THIRD STREET,LOS ANGELES,CA,90036,open,-13175847.2879609,4038363.7702461
54790,CVS Pharmacy #09571,950 NORTH WESTERN AVENUE,SAN PEDRO,CA,90732,open,-13170075.3723632,3995452.36205618
54791,CVS Pharmacy #09675,12143 VENTURA BLVD,STUDIO CITY,CA,91604,open,-13179868.8158853,4048099.66201575
54792,CVS Pharmacy #09477,5399 WEST CENTINELA AVENUE,LOS ANGELES,CA,90045,open,-13177310.3600284,4025775.58775694
