ZIP Code,County,Hospitals,Nursing Homes,Public Health Departments,Pharmacies
02748,BRISTOL,0,1,0,0
02760,BRISTOL,0,1,1,0
02762,NORFOLK,0,0,1,0
02763,BRISTOL,0,1,0,0
02766,BRISTOL,0,2,1,0
02767,BRISTOL,0,1,1,0
02769,BRISTOL,0,0,1,0
02770,PLYMOUTH,0,0,1,0
02771,BRISTOL,0,0,1,0
02777,BRISTOL,0,2,1,0
02779,BRISTOL,0,0,1,0
02780,BRISTOL,2,4,1,0
02790,BRISTOL,0,0,1,0
02806,BRISTOL,0,1,0,0
02809,BRISTOL,0,4,0,0
02816,KENT,0,5,0,0
02818,KENT,0,5,0,0
02827,KENT,0,1,0,0
02828,PROVIDENCE,0,5,0,0
02830,PROVIDENCE,1,0,0,0
02838,PROVIDENCE,0,1,0,0
02840,NEWPORT,1,4,0,0
02842,NEWPORT,0,5,0,0
02852,WASHINGTON,0,3,0,0
02857,PROVIDENCE,0,1,0,0
02859,PROVIDENCE,0,3,0,0
02860,PROVIDENCE,1,6,0,0
02861,PROVIDENCE,0,1,0,0
02863,PROVIDENCE,0,3,0,0
02864,PROVIDENCE,0,4,0,0
02865,PROVIDENCE,0,2,0,0
02871,NEWPORT,0,1,0,0
02878,NEWPORT,0,2,0,0
02879,WASHINGTON,1,5,0,0
02885,BRISTOL,0,4,0,0
02886,KENT,1,9,0,0
02888,KENT,0,2,0,0
02889,KENT,0,2,0,0
02891,WASHINGTON,1,8,0,0
02892,WASHINGTON,0,2,0,0
02893,KENT,0,2,0,0
02895,PROVIDENCE,1,8,0,0
02896,PROVIDENCE,1,2,0,0
02903,PROVIDENCE,2,4,0,0
02904,PROVIDENCE,1,5,0,0
02905,PROVIDENCE,1,2,0,0
02906,PROVIDENCE,2,6,0,0
02907,PROVIDENCE,1,3,0,0
02908,PROVIDENCE,2,4,1,0
02911,PROVIDENCE,0,1,0,0
02914,PROVIDENCE,0,11,0,0
02915,PROVIDENCE,1,4,0,0
02917,PROVIDENCE,0,3,0,0
02919,PROVIDENCE,1,7,0,0
02920,PROVIDENCE,2,3,0,0
03038,ROCKINGHAM,1,3,0,0
03044,ROCKINGHAM,0,1,0,0
03045,HILLSBOROUGH,0,3,0,0
03047,HILLSBOROUGH,1,4,0,0
03051,HILLSBOROUGH,0,1,0,0
03054,HILLSBOROUGH,0,1,0,0
03055,HILLSBOROUGH,1,4,0,0
03060,HILLSBOROUGH,1,2,1,0
03061,HILLSBOROUGH,1,0,0,0
03062,HILLSBOROUGH,2,2,0,0
03071,HILLSBOROUGH,0,1,0,0
03077,ROCKINGHAM,0,1,0,0
03079,ROCKINGHAM,1,1,0,0
03084,HILLSBOROUGH,0,6,0,0
03086,HILLSBOROUGH,0,1,0,0
03087,ROCKINGHAM,0,2,0,0
03101,HILLSBOROUGH,0,0,1,0
03102,HILLSBOROUGH,1,2,0,0
03103,HILLSBOROUGH,2,0,0,0
03104,HILLSBOROUGH,1,9,0,0
03109,HILLSBOROUGH,0,1,0,0
03110,HILLSBOROUGH,0,4,0,0
03216,MERRIMACK,0,1,0,0
03222,GRAFTON,0,2,0,0
03224,MERRIMACK,0,1,0,0
03234,MERRIMACK,0,1,0,0
03235,MERRIMACK,1,2,0,0
03238,GRAFTON,0,1,0,0
03244,HILLSBOROUGH,0,1,0,0
03246,BELKNAP,1,4,0,0
03253,BELKNAP,0,2,0,0
03257,MERRIMACK,1,0,0,0
03263,MERRIMACK,0,1,0,0
03264,GRAFTON,1,0,0,0
03275,MERRIMACK,0,1,0,0
03276,MERRIMACK,0,1,0,0
03301,MERRIMACK,2,6,1,0
